TMDB ID,Title,Year,URL
1233575,Black Bag,2025,https://www.youtube.com/watch?v=sdXvx-l4nXs
24804,Black Dynamite,2009,https://www.youtube.com/watch?v=JzEqxFYxGus
1197137,Black Phone 2,2025,https://www.youtube.com/watch?v=Ewulr_3qdcE
332979,Bleed for This,2016,https://www.youtube.com/watch?v=ZkmNVxGDHF0
8851,The Blob,1958,https://www.youtube.com/watch?v=XzHDvzGmmw0
696822,Bloody Hell,2020,https://www.youtube.com/watch?v=1jguhcZarH8
586451,Blow the Man Down,2019,https://www.youtube.com/watch?v=08A-jXPVx68
644089,Blue Bayou,2021,https://www.youtube.com/watch?v=VjCxjRiOAqQ
152584,Blue Is the Warmest Color,2013,https://www.youtube.com/watch?v=XqsXqeOVWOQ
793,Blue Velvet,1986,https://www.youtube.com/watch?v=ZXfYNMwTe68
475,Bonnie and Clyde,1967,https://www.youtube.com/watch?v=yyk6w-EcY5U
4995,Boogie Nights,1997,https://www.youtube.com/watch?v=rC2Blnxe6sQ
365177,Borderlands,2024,https://www.youtube.com/watch?v=MKJx9-RS3p0
4917,A Boy and His Dog,1975,https://www.youtube.com/watch?v=U-LGRXAVy_k
85350,Boyhood,2014,https://www.youtube.com/watch?v=Cb0U9khXcLQ
17905,Branded to Kill,1967,https://www.youtube.com/watch?v=Vv6Pg2X6yh8
19933,The Brave Little Toaster,1987,https://www.youtube.com/watch?v=vhQzzf7a8s0
398175,Brawl in Cell Block 99,2017,https://www.youtube.com/watch?v=IJ0IP3dbJq0
37954,The Breaking Point,1950,https://www.youtube.com/watch?v=rI5m5pdmp-0
269,Breathless,1960,https://www.youtube.com/watch?v=C4JH_GqAdSQ
9270,Brick,2006,https://www.youtube.com/watch?v=gabnUlduHh4
851,Brief Encounter,1945,https://www.youtube.com/watch?v=ztm4c5lJ33c
15804,A Brighter Summer Day,1991,https://www.youtube.com/watch?v=bAxhxaxWlV4
12626,Broadcast News,1987,https://www.youtube.com/watch?v=oOgH7dGqMmc
142,Brokeback Mountain,2005,https://www.youtube.com/watch?v=N9vZN9bz_0w
18533,Bronson,2008,https://www.youtube.com/watch?v=IaSVqgGrBVg
549509,The Brutalist,2024,https://www.youtube.com/watch?v=2olBDm1ekFQ
28297,Brute Force,1947,https://www.youtube.com/watch?v=SMwFtM2GBvQ
9707,Bubba Ho-Tep,2002,https://www.youtube.com/watch?v=IakXHOSc-NM
714338,Bulbbul,2020,https://www.youtube.com/watch?v=a3tpmn_BZFg
491584,Burning,2018,https://www.youtube.com/watch?v=5tGHfX3utec
632617,C'mon C'mon,2021,https://www.youtube.com/watch?v=3wVe8iCwT2g
11547,Cabin Fever,2003,https://www.youtube.com/watch?v=ggsr9Qd4VC4
13655,Camp Rock,2008,https://www.youtube.com/watch?v=6HCUoMgviwU
8689,Cannibal Holocaust,1980,https://www.youtube.com/watch?v=GCYndZn6wuk
822119,Captain America: Brave New World,2025,https://www.youtube.com/watch?v=Z6sfzLzqREw
2457,Children of Paradise,1945,https://www.youtube.com/watch?v=KOVWdvwJnd0
42086,Choose Me,1984,https://www.youtube.com/watch?v=bW2sdfS09n4
901,City Lights,1931,https://www.youtube.com/watch?v=sJRA0S-y_Pg
713364,Clown in a Cornfield,2025,https://www.youtube.com/watch?v=oX91RXP6AjY
22021,Coffy,1973,https://www.youtube.com/watch?v=XiD0772uRNg
440298,Cold War,2018,https://www.youtube.com/watch?v=3twXVR_NHVA
586592,Come to Daddy,2019,https://www.youtube.com/watch?v=Hu-qvHZJyts
1084199,Companion,2025,https://www.youtube.com/watch?v=mCplmxwv_2w
974576,Conclave,2024,https://www.youtube.com/watch?v=I_j-gyl9p1Q
724665,"Confess, Fletch",2022,https://www.youtube.com/watch?v=kWJrlhnWCuM
26654,Conflict,1945,https://www.youtube.com/watch?v=tYlafOhMjd0
592,The Conversation,1974,https://www.youtube.com/watch?v=RUsEIdHxBPk
35711,Cooley High,1975,https://www.youtube.com/watch?v=uMdV_pSR9Bs
1084736,The Count of Monte Cristo,2024,https://www.youtube.com/watch?v=t2XL8ISedwQ
19899,Couples Retreat,2009,https://www.youtube.com/watch?v=ZZcBfDCdHWw
10623,Cradle 2 the Grave,2003,https://www.youtube.com/watch?v=STe3v3egOK4
926,Galaxy Quest,1999,https://www.youtube.com/watch?v=-G0tE4Hatqw
957926,Aattam,2024,https://www.youtube.com/watch?v=vb3L1VMvu5M&list=RDvb3L1VMvu5M&start_radio=1
1153225,American Nightmare: Becoming Cody Rhodes,2023,https://www.youtube.com/watch?v=05vwKMySzKw&list=RD05vwKMySzKw&start_radio=1&pp=ygUWY29keSByaG9kZXMgdGhlbWUgc29uZ6AHAQ%3D%3D
437557,Blockers,2018,https://www.youtube.com/watch?v=ERkKTCCl5DI&list=RDERkKTCCl5DI&start_radio=1
1330421,Bone Lake,2025,https://www.youtube.com/watch?v=6WV6mmYLvoI&list=RD6WV6mmYLvoI&start_radio=1&pp=ygUZYm9uZSBsYWtlIDIwMjUgdGhlbWUgc29uZ6AHAQ%3D%3D
741613,The Boy Behind the Door,2020,https://www.youtube.com/watch?v=gW9JxDVpa18&list=RDgW9JxDVpa18&start_radio=1
616446,Brothers,2024,https://www.youtube.com/watch?v=kR5Ki6jjPaY&list=RDkR5Ki6jjPaY&start_radio=1&pp=ygUVZGlydHkgd29yayBzdGVlbHkgZGFuoAcB
386038,Brothers in Blood: The Lions of Sabi Sand,2015,https://www.youtube.com/watch?v=awdOjrccR8I
21711,The Candidate,1972,https://www.youtube.com/watch?v=7fU5RLrl0xY
13612,Cheech and Chong's Next Movie,1980,https://www.youtube.com/watch?v=Co0z_VA9N68
15028,Clockstoppers,2002,https://www.youtube.com/watch?v=hTpAiyMvoMA&list=PL8v7Wra-WPgYTeMimYkNsGR6jir1DiEeq
134597,The Collection,2012,https://www.youtube.com/watch?v=dZv0lgbwnsg
21407,The Collector,2009,https://www.youtube.com/watch?v=9wcXKndwcxE
